Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"BB McCullum, L Vincent",2002-2007,2002,2007,11,0,138,36,12.54,0,0,New Zealand
"DG Brownlie, MJ Guptill",2014-2017,2014,2017,5,0,137,81,27.40,0,1,New Zealand
"GD Elliott, KD Mills",2008-2015,2008,2015,6,0,137,54,22.83,0,1,New Zealand
"MJ Horne, RG Twose",1999-1999,1999,1999,4,0,137,83,34.25,0,1,New Zealand
"SE Bond, KD Mills",2002-2009,2002,2009,7,0,135,50,19.28,0,1,New Zealand
"BE Congdon, KJ Wadsworth",1974-1975,1974,1975,3,0,135,130,45.00,1,0,New Zealand
"CD Cumming, RA Jones",2003-2003,2003,2003,5,0,135,50,27.00,0,1,New Zealand
"CZ Harris, JTC Vaughan",1992-1996,1992,1996,4,1,135,57,45.00,0,1,New Zealand
"JM How, L Vincent",2005-2007,2005,2007,5,0,135,59,27.00,0,1,New Zealand
"CL Cairns, HJH Marshall",2003-2006,2003,2006,10,1,134,31,14.88,0,0,New Zealand
"CZ Harris, SA Thomson",1994-1996,1994,1996,8,0,134,59,16.75,0,1,New Zealand
"BE Congdon, BF Hastings",1974-1975,1974,1975,2,0,133,84,66.50,0,1,New Zealand
"NL McCullum, KS Williamson",2010-2013,2010,2013,5,1,133,53,33.25,0,1,New Zealand
"BE Congdon, GM Turner",1973-1976,1973,1976,4,1,132,82*,44.00,0,1,New Zealand
"AH Jones, IDS Smith",1987-1992,1987,1992,8,0,132,41,16.50,0,0,New Zealand
"NL McCullum, SB Styris",2011-2011,2011,2011,2,0,132,120,66.00,1,0,New Zealand
"MJ Guptill, HM Nicholls",2016-2018,2016,2018,4,0,131,100,32.75,1,0,New Zealand
"BB McCullum, NL McCullum",2012-2013,2012,2013,5,0,131,44,26.20,0,0,New Zealand
"MC Snedden, JG Wright",1987-1987,1987,1987,2,0,131,72,65.50,0,2,New Zealand
"TD Astle, HM Nicholls",2017-2017,2017,2017,1,0,130,130,130.00,1,0,New Zealand
"BA Edgar, JF Reid",1982-1986,1982,1986,4,0,130,61,32.50,0,1,New Zealand
"MJ Guptill, PJ Ingram",2010-2010,2010,2010,5,0,130,43,26.00,0,0,New Zealand
"DG Brownlie, AP Devcich",2014-2014,2014,2014,2,0,129,103,64.50,1,0,New Zealand
"MG Burgess, GP Howarth",1978-1981,1978,1981,4,0,129,65,32.25,0,2,New Zealand
"JJ Crowe, JF Reid",1984-1985,1984,1985,3,0,129,97,43.00,0,1,New Zealand
"JJ Crowe, KR Rutherford",1985-1988,1985,1988,7,0,128,46,18.28,0,0,New Zealand
"GR Larsen, DK Morrison",1992-1995,1992,1995,8,1,128,44,18.28,0,0,New Zealand
"GR Larsen, AC Parore",1992-1997,1992,1997,10,2,128,31,16.00,0,0,New Zealand
"MJ Greatbatch, IDS Smith",1988-1990,1988,1990,4,1,127,47,42.33,0,0,New Zealand
"TWM Latham, HM Nicholls",2017-2018,2017,2018,5,1,126,60,31.50,0,2,New Zealand
"CZ Harris, HJH Marshall",2003-2003,2003,2003,2,0,125,107,62.50,1,0,New Zealand
"GJ Hopkins, SB Styris",2007-2010,2007,2010,3,0,125,67,41.66,0,1,New Zealand
"NT Broom, GD Elliott",2009-2009,2009,2009,5,2,124,53,41.33,0,2,New Zealand
"BL Cairns, BA Edgar",1979-1984,1979,1984,8,1,124,25,17.71,0,0,New Zealand
"MD Crowe, AC Parore",1994-1994,1994,1994,2,0,123,101,61.50,1,0,New Zealand
"AR Adams, CD McMillan",2002-2007,2002,2007,3,0,122,92,40.66,0,1,New Zealand
"GD Elliott, BB McCullum",2009-2013,2009,2013,4,0,121,69,30.25,0,1,New Zealand
"LK Germon, RG Twose",1995-1996,1995,1996,6,0,121,49,20.16,0,0,New Zealand
"MJ Guptill, SB Styris",2010-2011,2010,2011,3,0,121,65,40.33,0,1,New Zealand
"LRPL Taylor, BJ Watling",2010-2016,2010,2016,6,0,121,45,20.16,0,0,New Zealand
"CL Cairns, DL Vettori",2002-2006,2002,2006,6,1,119,43,23.80,0,0,New Zealand
"L Ronchi, DL Vettori",2014-2015,2014,2015,5,1,119,74,29.75,0,1,New Zealand
"MJ Santner, KS Williamson",2015-2018,2015,2018,3,0,119,96,39.66,0,1,New Zealand
"AR Adams, CL Cairns",2002-2005,2002,2005,4,0,116,65,29.00,0,1,New Zealand
"NJ Astle, MD Bell",1998-1999,1998,1999,3,0,116,90,38.66,0,1,New Zealand
"C de Grandhomme, MJ Santner",2017-2018,2017,2018,5,0,116,45,23.20,0,0,New Zealand
"SE Bond, JEC Franklin",2006-2007,2006,2007,8,3,115,39,23.00,0,0,New Zealand
"MJ Horne, BA Young",1997-1999,1997,1999,9,0,115,40,12.77,0,0,New Zealand
"BL Cairns, IDS Smith",1980-1985,1980,1985,7,0,114,43,16.28,0,0,New Zealand
"JV Coney, GM Turner",1979-1983,1979,1983,4,0,114,52,28.50,0,1,New Zealand
"RJ Nicol, BJ Watling",2011-2013,2011,2013,6,0,114,83,19.00,0,1,New Zealand
"CL Cairns, L Vincent",2002-2005,2002,2005,6,1,113,35*,22.60,0,0,New Zealand
"MD Crowe, DJ White",1990-1990,1990,1990,3,0,113,50,37.66,0,1,New Zealand
"JDS Neesham, L Ronchi",2013-2017,2013,2017,5,1,112,37,28.00,0,0,New Zealand
"MS Sinclair, L Vincent",2001-2002,2001,2002,6,0,112,42,18.66,0,0,New Zealand
"MD Crowe, BA Young",1990-1994,1990,1994,4,0,111,54,27.75,0,1,New Zealand
"SP Fleming, JDP Oram",2001-2007,2001,2007,5,0,111,62,22.20,0,1,New Zealand
"NL McCullum, DL Vettori",2011-2011,2011,2011,2,1,111,57*,111.00,0,2,New Zealand
"NJ Astle, BB McCullum",2002-2007,2002,2007,10,0,110,26,11.00,0,0,New Zealand
"MG Burgess, KJ Wadsworth",1973-1976,1973,1976,3,0,110,52,36.66,0,1,New Zealand
"SP Fleming, DL Vettori",1998-2007,1998,2007,6,0,110,42,18.33,0,0,New Zealand
"GD Elliott, PD McGlashan",2009-2009,2009,2009,2,1,109,95*,109.00,0,1,New Zealand
"KR Rutherford, MC Snedden",1986-1987,1986,1987,4,0,109,67,27.25,0,1,New Zealand
"Sir RJ Hadlee, MC Snedden",1981-1990,1981,1990,12,1,108,34,9.81,0,0,New Zealand
"GR Larsen, DN Patel",1992-1997,1992,1997,5,0,108,42,21.60,0,0,New Zealand
"BB McCullum, HJH Marshall",2003-2006,2003,2006,5,1,108,39*,27.00,0,0,New Zealand
"RG Twose, BA Young",1999-1999,1999,1999,3,1,107,62,53.50,0,1,New Zealand
"BL Cairns, JJ Crowe",1983-1985,1983,1985,8,0,106,70,13.25,0,1,New Zealand
"MJ Greatbatch, RH Vance",1988-1988,1988,1988,2,0,106,72,53.00,0,1,New Zealand
"BB McCullum, KD Mills",2002-2013,2002,2013,8,1,105,50,15.00,0,1,New Zealand
"DN Patel, KR Rutherford",1987-1992,1987,1992,6,0,105,59,17.50,0,1,New Zealand
"TA Boult, L Ronchi",2014-2014,2014,2014,2,0,104,74,52.00,0,1,New Zealand
"JV Coney, BA Edgar",1981-1986,1981,1986,6,0,104,41,17.33,0,0,New Zealand
"JEC Franklin, JDP Oram",2002-2011,2002,2011,6,0,104,38,17.33,0,0,New Zealand
"CZ Harris, IDS Smith",1990-1992,1990,1992,4,0,104,74,26.00,0,1,New Zealand
"RT Latham, JG Wright",1992-1992,1992,1992,4,0,104,77,26.00,0,1,New Zealand
"JEC Franklin, MJ Guptill",2009-2013,2009,2013,4,1,103,54,34.33,0,1,New Zealand
"JM How, JD Ryder",2008-2009,2008,2009,5,0,103,50,20.60,0,1,New Zealand
"LG Howell, AC Parore",1998-1998,1998,1998,2,0,103,64,51.50,0,1,New Zealand
"BR Hartland, SA Thomson",1994-1994,1994,1994,1,1,101,101*,-,1,0,New Zealand
"CM Spearman, BA Young",1995-1998,1995,1998,6,0,101,30,16.83,0,0,New Zealand
"JG Bracewell, CM Kuggeleijn",1988-1988,1988,1988,3,0,100,63,33.33,0,1,New Zealand
"DG Brownlie, TWM Latham",2012-2017,2012,2017,7,0,100,32,14.28,0,0,New Zealand
"DG Brownlie, LRPL Taylor",2017-2017,2017,2017,2,0,100,100,50.00,1,0,New Zealand
"CD McMillan, CJ Nevin",2001-2002,2001,2002,4,0,100,35,25.00,0,0,New Zealand
"JV Coney, JFM Morrison",1979-1983,1979,1983,4,0,99,85,24.75,0,1,New Zealand
"BA Edgar, PE McEwan",1980-1981,1980,1981,4,0,99,49,24.75,0,0,New Zealand
"SP Fleming, MJ Greatbatch",1995-1996,1995,1996,2,0,99,82,49.50,0,1,New Zealand
"NJ Astle, SA Thomson",1995-1995,1995,1995,3,0,98,43,32.66,0,0,New Zealand
"HJH Marshall, JDP Oram",2003-2005,2003,2005,5,0,98,49,19.60,0,0,New Zealand
"C de Grandhomme, TG Southee",2017-2018,2017,2018,5,3,96,51*,48.00,0,1,New Zealand
"BF Hastings, GM Turner",1973-1975,1973,1975,3,0,96,65,32.00,0,1,New Zealand
"CD McMillan, BA Young",1998-1999,1998,1999,3,0,96,34,32.00,0,0,New Zealand
"AC Parore, DL Vettori",1998-2002,1998,2002,10,1,96,47*,10.66,0,0,New Zealand
"L Ronchi, MJ Santner",2015-2016,2015,2016,5,1,96,32*,24.00,0,0,New Zealand
"PE McEwan, JG Wright",1980-1985,1980,1985,6,0,95,40,15.83,0,0,New Zealand
"DR Flynn, SB Styris",2008-2008,2008,2008,4,0,94,53,23.50,0,1,New Zealand
"CZ Harris, AH Jones",1991-1992,1991,1992,4,1,94,42*,31.33,0,0,New Zealand
"AP Devcich, TWM Latham",2013-2013,2013,2013,4,0,93,66,23.25,0,1,New Zealand
"AM Ellis, BB McCullum",2012-2013,2012,2013,3,0,93,37,31.00,0,0,New Zealand
"JEC Franklin, CD McMillan",2001-2007,2001,2007,4,0,93,57,23.25,0,1,New Zealand
"AH Jones, DN Patel",1987-1993,1987,1993,6,1,93,32,18.60,0,0,New Zealand
"MJ McClenaghan, L Ronchi",2014-2014,2014,2014,2,0,93,76,46.50,0,1,New Zealand
"JFM Morrison, MC Snedden",1983-1983,1983,1983,3,2,93,55*,93.00,0,1,New Zealand
"DJ Nash, DL Vettori",1998-2001,1998,2001,6,0,91,43,15.16,0,0,New Zealand
"CJ Anderson, NL McCullum",2013-2015,2013,2015,5,1,90,60,22.50,0,1,New Zealand
"JEC Franklin, CZ Harris",2001-2002,2001,2002,7,1,90,33*,15.00,0,0,New Zealand
"JV Coney, DN Patel",1987-1987,1987,1987,2,0,89,61,44.50,0,1,New Zealand
"GJ Hopkins, NL McCullum",2010-2010,2010,2010,4,0,89,31,22.25,0,0,New Zealand
"C Munro, MJ Santner",2016-2017,2016,2017,4,1,89,57,29.66,0,1,New Zealand
"MG Burgess, JV Coney",1980-1981,1980,1981,3,0,88,58,29.33,0,1,New Zealand
"BA Edgar, GN Edwards",1981-1981,1981,1981,1,0,88,88,88.00,0,1,New Zealand
"BR Hartland, AH Jones",1992-1994,1992,1994,2,0,87,79,43.50,0,1,New Zealand
"CD McMillan, DL Vettori",2000-2007,2000,2007,7,0,87,35,12.42,0,0,New Zealand
"CJ Anderson, BB McCullum",2013-2014,2013,2014,4,0,86,42,21.50,0,0,New Zealand
"JG Bracewell, EJ Gray",1986-1988,1986,1988,4,1,86,47,28.66,0,0,New Zealand
"MD Crowe, RT Latham",1990-1992,1990,1992,4,0,86,40,21.50,0,0,New Zealand
"MJ Greatbatch, MW Priest",1990-1990,1990,1990,2,0,86,81,43.00,0,1,New Zealand
"MJ Guptill, AJ Redmond",2009-2009,2009,2009,3,0,86,61,28.66,0,1,New Zealand
"Sir RJ Hadlee, JG Wright",1980-1983,1980,1983,3,0,86,42,28.66,0,0,New Zealand
"SB Doull, GR Larsen",1997-1997,1997,1997,2,0,85,43,42.50,0,0,New Zealand
"NL McCullum, L Ronchi",2014-2014,2014,2014,5,0,85,34,17.00,0,0,New Zealand
"C Munro, JDS Neesham",2015-2017,2015,2017,3,0,85,71,28.33,0,1,New Zealand
"TG Southee, DL Vettori",2009-2015,2009,2015,6,2,85,31,21.25,0,0,New Zealand
"NJ Astle, KR Rutherford",1995-1995,1995,1995,2,0,84,60,42.00,0,1,New Zealand
"MJ Henry, JDS Neesham",2016-2016,2016,2016,1,0,84,84,84.00,0,1,New Zealand
"BA Edgar, Sir RJ Hadlee",1981-1986,1981,1986,6,0,82,40,13.66,0,0,New Zealand
"JM Parker, JG Wright",1980-1981,1980,1981,3,0,82,45,27.33,0,0,New Zealand
"GD Elliott, PG Fulton",2009-2009,2009,2009,1,0,80,80,80.00,0,1,New Zealand
"JEC Franklin, BJ Watling",2012-2013,2012,2013,2,0,80,56,40.00,0,1,New Zealand
"MJ Greatbatch, SA Thomson",1993-1995,1993,1995,3,0,80,37,26.66,0,0,New Zealand
"JDP Oram, BJ Watling",2012-2012,2012,2012,3,0,80,46,26.66,0,0,New Zealand
"MG Burgess, BL Cairns",1980-1980,1980,1980,1,0,79,79,79.00,0,1,New Zealand
"JDP Oram, AC Parore",2001-2001,2001,2001,3,0,79,57,26.33,0,1,New Zealand
"DR Tuffey, DL Vettori",2002-2010,2002,2010,6,1,79,37,15.80,0,0,New Zealand
"TE Blain, GR Larsen",1993-1994,1993,1994,4,1,78,35*,26.00,0,0,New Zealand
"NT Broom, DL Vettori",2009-2010,2009,2010,4,0,78,52,19.50,0,1,New Zealand
"GD Elliott, SB Styris",2008-2010,2008,2010,3,1,78,65*,39.00,0,1,New Zealand
"AM Ellis, NL McCullum",2012-2012,2012,2012,3,0,78,57,26.00,0,1,New Zealand
"GP Howarth, JF Reid",1985-1985,1985,1985,4,0,78,41,19.50,0,0,New Zealand
"JG Bracewell, JJ Crowe",1986-1987,1986,1987,3,0,77,36,25.66,0,0,New Zealand
"RJ Nicol, JDP Oram",2012-2012,2012,2012,1,0,77,77,77.00,0,1,New Zealand
"MJ Greatbatch, AC Parore",1996-1996,1996,1996,3,0,76,59,25.33,0,1,New Zealand
"HJH Marshall, DL Vettori",2003-2006,2003,2006,4,1,76,37*,25.33,0,0,New Zealand
"JG Bracewell, MC Snedden",1986-1990,1986,1990,7,3,75,29*,18.75,0,0,New Zealand
"PG Fulton, MJ Guptill",2009-2009,2009,2009,3,0,75,38,25.00,0,0,New Zealand
"MJ Greatbatch, Sir RJ Hadlee",1988-1990,1988,1990,3,1,75,40*,37.50,0,0,New Zealand
"JDS Neesham, MJ Santner",2016-2017,2016,2017,7,0,75,28,10.71,0,0,New Zealand
"BL Cairns, BE Congdon",1976-1978,1976,1978,3,0,74,68,24.66,0,1,New Zealand
"AP Devcich, GD Elliott",2013-2013,2013,2013,2,0,74,40,37.00,0,0,New Zealand
"DR Flynn, RJ Nicol",2012-2012,2012,2012,2,0,74,47,37.00,0,0,New Zealand
"Sir RJ Hadlee, GB Troup",1983-1985,1983,1985,3,1,74,63,37.00,0,1,New Zealand
"PA Horne, JG Wright",1987-1987,1987,1987,2,0,74,46,37.00,0,0,New Zealand
"MJ Henry, MJ McClenaghan",2016-2016,2016,2016,1,1,73,73*,-,0,1,New Zealand
"GD Elliott, C Munro",2013-2015,2013,2015,2,0,72,61,36.00,0,1,New Zealand
"GD Elliott, HM Nicholls",2016-2016,2016,2016,4,0,72,40,18.00,0,0,New Zealand
"NT Broom, GH Worker",2017-2017,2017,2017,2,0,71,55,35.50,0,1,New Zealand
"GD Elliott, MJ Santner",2015-2015,2015,2015,1,0,71,71,71.00,0,1,New Zealand
"CZ Harris, KD Mills",2001-2004,2001,2004,5,0,71,26,14.20,0,0,New Zealand
"RT Latham, RG Petrie",1990-1991,1990,1991,2,1,71,42,71.00,0,0,New Zealand
"TWM Latham, TG Southee",2016-2016,2016,2016,1,0,71,71,71.00,0,1,New Zealand
"MH Richardson, L Vincent",2002-2002,2002,2002,3,0,71,41,23.66,0,0,New Zealand
"Sir RJ Hadlee, JM Parker",1980-1981,1980,1981,2,0,70,47,35.00,0,0,New Zealand
"LH Ferguson, MJ Santner",2017-2018,2017,2018,2,0,69,69,34.50,0,1,New Zealand
"AJ Redmond, DL Vettori",2009-2009,2009,2009,1,0,69,69,69.00,0,1,New Zealand
"AR Adams, CZ Harris",2001-2003,2001,2003,6,0,68,37,11.33,0,0,New Zealand
"BL Cairns, WK Lees",1979-1983,1979,1983,4,0,68,48,17.00,0,0,New Zealand
"CL Cairns, RA Jones",2003-2003,2003,2003,1,0,68,68,68.00,0,1,New Zealand
"AM Ellis, KS Williamson",2012-2012,2012,2012,1,0,68,68,68.00,0,1,New Zealand
"KD Mills, MS Sinclair",2007-2007,2007,2007,2,1,68,43,68.00,0,0,New Zealand
"CL Cairns, MHW Papps",2004-2004,2004,2004,2,0,67,37,33.50,0,0,New Zealand
"JEC Franklin, C Munro",2013-2013,2013,2013,1,0,67,67,67.00,0,1,New Zealand
"PG Fulton, JDP Oram",2006-2007,2006,2007,3,0,67,54,22.33,0,1,New Zealand
"MJ Guptill, GH Worker",2015-2015,2015,2015,1,1,67,67*,-,0,1,New Zealand
"NT Broom, JEC Franklin",2009-2010,2009,2010,2,0,66,65,33.00,0,1,New Zealand
"CZ Harris, C Pringle",1990-1994,1990,1994,7,3,66,27,16.50,0,0,New Zealand
"JDP Oram, MHW Papps",2004-2004,2004,2004,2,0,66,40,33.00,0,0,New Zealand
"CJ Anderson, TWM Latham",2014-2016,2014,2016,5,0,65,24,13.00,0,0,New Zealand
"NJ Astle, JEC Franklin",2006-2006,2006,2006,1,1,65,65*,-,0,1,New Zealand
"CL Cairns, BA Young",1993-1997,1993,1997,3,0,65,46,21.66,0,0,New Zealand
"BR Hartland, KR Rutherford",1992-1994,1992,1994,4,0,65,45,16.25,0,0,New Zealand
"SA Thomson, RG Twose",1995-1996,1995,1996,4,0,65,26,16.25,0,0,New Zealand
"TE Blain, KR Rutherford",1993-1993,1993,1993,1,0,64,64,64.00,0,1,New Zealand
"NT Broom, L Ronchi",2016-2016,2016,2016,1,0,64,64,64.00,0,1,New Zealand
"GM Turner, KJ Wadsworth",1975-1975,1975,1975,2,0,64,50,32.00,0,1,New Zealand
"NT Broom, MJ Santner",2016-2017,2016,2017,2,0,63,36,31.50,0,0,New Zealand
"BL Cairns, JG Wright",1983-1984,1983,1984,3,0,63,28,21.00,0,0,New Zealand
"BA Edgar, JM Parker",1980-1981,1980,1981,2,0,63,49,31.50,0,0,New Zealand
"LK Germon, DN Patel",1995-1996,1995,1996,6,1,63,23,12.60,0,0,New Zealand
"GJ Hopkins, DL Vettori",2008-2010,2008,2010,6,0,63,45,10.50,0,0,New Zealand
"AR Adams, DL Vettori",2002-2005,2002,2005,5,2,62,19,20.66,0,0,New Zealand
"GR Larsen, DJ Nash",1994-1999,1994,1999,7,2,62,29,12.40,0,0,New Zealand
"NL McCullum, TG Southee",2010-2013,2010,2013,3,0,62,35,20.66,0,0,New Zealand
"DL Vettori, JW Wilson",2005-2005,2005,2005,1,0,62,62,62.00,0,1,New Zealand
"MD Crowe, PA Horne",1987-1987,1987,1987,2,0,61,60,30.50,0,1,New Zealand
"GD Elliott, JDP Oram",2009-2009,2009,2009,4,0,61,27,15.25,0,0,New Zealand
"CJ Nevin, SB Styris",2002-2003,2002,2003,3,0,61,31,20.33,0,0,New Zealand
"TE Blain, CZ Harris",1993-1994,1993,1994,4,0,60,49,15.00,0,0,New Zealand
"SE Bond, SB Styris",2003-2010,2003,2010,2,1,60,35*,60.00,0,0,New Zealand
"BA Edgar, WK Lees",1980-1983,1980,1983,2,0,60,34,30.00,0,0,New Zealand
"CZ Harris, BR Hartland",1992-1994,1992,1994,2,0,60,60,30.00,0,1,New Zealand
"SB Styris, DR Tuffey",2002-2010,2002,2010,3,1,60,27,30.00,0,0,New Zealand
"MD Crowe, WK Lees",1983-1983,1983,1983,2,0,59,38,29.50,0,0,New Zealand
"JEC Franklin, JS Patel",2007-2007,2007,2007,1,0,59,59,59.00,0,1,New Zealand
"GJ Hopkins, DR Tuffey",2010-2010,2010,2010,2,0,59,36,29.50,0,0,New Zealand
"MG Burgess, Sir RJ Hadlee",1979-1981,1979,1981,4,0,58,26,14.50,0,0,New Zealand
"C de Grandhomme, LRPL Taylor",2018-2018,2018,2018,3,0,58,30,19.33,0,0,New Zealand
"JD Ryder, BJ Watling",2010-2010,2010,2010,2,0,57,55,28.50,0,1,New Zealand
"MC Snedden, W Watson",1987-1989,1987,1989,6,1,57,39,11.40,0,0,New Zealand
"KD Mills, KS Williamson",2010-2013,2010,2013,2,1,56,34*,56.00,0,0,New Zealand
"CJ Anderson, MJ Guptill",2014-2015,2014,2015,3,1,55,46,27.50,0,0,New Zealand
"BL Cairns, MC Snedden",1983-1985,1983,1985,5,0,55,18,11.00,0,0,New Zealand
"C de Grandhomme, JEC Franklin",2012-2012,2012,2012,1,0,55,55,55.00,0,1,New Zealand
"GD Elliott, TG Southee",2009-2015,2009,2015,5,1,55,26,13.75,0,0,New Zealand
"TWM Latham, JDS Neesham",2013-2016,2013,2016,5,0,55,24,11.00,0,0,New Zealand
"TWM Latham, GH Worker",2015-2017,2015,2017,3,0,55,41,18.33,0,0,New Zealand
"MJ McClenaghan, KD Mills",2013-2015,2013,2015,3,0,55,28,18.33,0,0,New Zealand
"BB McCullum, DR Tuffey",2003-2007,2003,2007,5,2,55,18,18.33,0,0,New Zealand
"V Pollard, GM Turner",1973-1973,1973,1973,1,0,55,55,55.00,0,1,New Zealand
"AR Adams, NJ Astle",2002-2002,2002,2002,1,1,54,54*,-,0,1,New Zealand
"SE Bond, DL Vettori",2002-2010,2002,2010,7,0,54,26,7.71,0,0,New Zealand
"PG Coman, GM Turner",1973-1974,1973,1974,3,0,54,35,18.00,0,0,New Zealand
"MJ Greatbatch, DN Patel",1988-1992,1988,1992,4,0,54,25,13.50,0,0,New Zealand
"CZ Harris, AR Tait",1998-1999,1998,1999,3,1,54,44*,27.00,0,0,New Zealand
"PE McEwan, JF Reid",1984-1985,1984,1985,3,0,54,36,18.00,0,0,New Zealand
"JDP Oram, DR Tuffey",2002-2010,2002,2010,3,1,54,21*,27.00,0,0,New Zealand
"DL Vettori, KS Williamson",2010-2015,2010,2015,4,1,54,30*,18.00,0,0,New Zealand
"BR Blair, JJ Crowe",1986-1986,1986,1986,4,0,53,46,13.25,0,0,New Zealand
"LK Germon, BA Young",1997-1997,1997,1997,1,0,53,53,53.00,0,1,New Zealand
"BG Hadlee, JFM Morrison",1975-1975,1975,1975,1,0,53,53,53.00,0,1,New Zealand
"BF Hastings, KJ Wadsworth",1975-1975,1975,1975,2,0,53,34,26.50,0,0,New Zealand
"GR Larsen, RG Twose",1995-1999,1995,1999,3,0,53,50,17.66,0,1,New Zealand
"SE Bond, DR Tuffey",2003-2010,2003,2010,3,0,52,27,17.33,0,0,New Zealand
"SE Bond, L Vincent",2003-2003,2003,2003,1,1,52,52*,-,0,1,New Zealand
"MG Burgess, PE McEwan",1980-1980,1980,1980,2,0,52,30,26.00,0,0,New Zealand
"AC Parore, SB Styris",2000-2000,2000,2000,4,0,52,20,13.00,0,0,New Zealand
"SB Styris, BJ Watling",2010-2010,2010,2010,1,0,52,52,52.00,0,1,New Zealand
"DAJ Bracewell, AF Milne",2015-2016,2015,2016,2,0,51,42,25.50,0,0,New Zealand
"SB Doull, CZ Harris",1996-1999,1996,1999,6,3,51,18*,17.00,0,0,New Zealand
"GD Elliott, TWM Latham",2013-2015,2013,2015,4,0,51,26,12.75,0,0,New Zealand
"Sir RJ Hadlee, EB McSweeney",1986-1987,1986,1987,5,1,51,29,12.75,0,0,New Zealand
"CZ Harris, MN Hart",1994-1994,1994,1994,3,0,51,26,17.00,0,0,New Zealand
"BR Hartland, AC Parore",1992-1994,1992,1994,4,0,51,29,12.75,0,0,New Zealand
"MJ Horne, CJ Nevin",2002-2002,2002,2002,2,0,51,44,25.50,0,0,New Zealand
"WK Lees, MC Snedden",1980-1983,1980,1983,3,1,51,24,25.50,0,0,New Zealand
"KD Mills, DR Tuffey",2001-2010,2001,2010,8,1,51,32*,7.28,0,0,New Zealand
"JS Patel, DL Vettori",2006-2009,2006,2009,2,1,51,47,51.00,0,0,New Zealand
"TE Blain, DN Patel",1988-1993,1988,1993,4,0,50,25,12.50,0,0,New Zealand
"MG Burgess, JG Wright",1981-1981,1981,1981,2,0,50,30,25.00,0,0,New Zealand
"BJ Diamanti, MJ Guptill",2009-2009,2009,2009,1,1,50,50*,-,0,1,New Zealand
"MJ Henry, C Munro",2016-2016,2016,2016,1,0,50,50,50.00,0,1,New Zealand
"CJ Anderson, HM Nicholls",2016-2016,2016,2016,2,0,49,26,24.50,0,0,New Zealand
"TE Blain, JJ Crowe",1986-1988,1986,1988,3,1,49,38,24.50,0,0,New Zealand
"CL Cairns, GR Larsen",1993-1994,1993,1994,4,1,49,23,16.33,0,0,New Zealand
"TK Canning, HJH Marshall",2003-2003,2003,2003,1,1,49,49*,-,0,0,New Zealand
"DR Flynn, GJ Hopkins",2008-2008,2008,2008,1,0,49,49,49.00,0,0,New Zealand
"JEC Franklin, PG Fulton",2007-2007,2007,2007,2,1,49,40*,49.00,0,0,New Zealand
"LK Germon, DK Morrison",1995-1996,1995,1996,4,2,49,33,24.50,0,0,New Zealand
"GR Larsen, JW Wilson",1993-1993,1993,1993,2,1,49,40*,49.00,0,0,New Zealand
"DK Morrison, W Watson",1988-1993,1988,1993,6,0,49,32,8.16,0,0,New Zealand
"DJ Nash, C Pringle",1994-1994,1994,1994,2,1,49,48*,49.00,0,0,New Zealand
"BE Congdon, JM Parker",1975-1975,1975,1975,1,0,48,48,48.00,0,0,New Zealand
"JEC Franklin, MJ McClenaghan",2013-2013,2013,2013,2,2,48,26*,-,0,0,New Zealand
"DR Hadlee, BJ McKechnie",1975-1975,1975,1975,1,0,48,48,48.00,0,0,New Zealand
"JM How, NL McCullum",2011-2011,2011,2011,1,0,48,48,48.00,0,0,New Zealand
"SA Thomson, BA Young",1994-1995,1994,1995,4,0,48,24,12.00,0,0,New Zealand
"SL Boock, BL Cairns",1984-1984,1984,1984,1,1,47,47*,-,0,0,New Zealand
"MG Burgess, JFM Morrison",1979-1979,1979,1979,1,0,47,47,47.00,0,0,New Zealand
"TJ Franklin, KR Rutherford",1988-1988,1988,1988,1,0,47,47,47.00,0,0,New Zealand
"SR Gillespie, Sir RJ Hadlee",1986-1988,1986,1988,4,0,47,21,11.75,0,0,New Zealand
"Sir RJ Hadlee, HJ Howarth",1973-1975,1973,1975,3,0,47,17,15.66,0,0,New Zealand
"AH Jones, AC Parore",1992-1995,1992,1995,3,0,47,27,15.66,0,0,New Zealand
"TWM Latham, BB McCullum",2012-2015,2012,2015,3,0,47,38,15.66,0,0,New Zealand
"MJ McClenaghan, NL McCullum",2013-2015,2013,2015,2,0,47,44,23.50,0,0,New Zealand
"HJH Marshall, L Vincent",2005-2005,2005,2005,3,0,47,20,15.66,0,0,New Zealand
"NJ Astle, JDP Oram",2001-2006,2001,2006,5,0,46,28,9.20,0,0,New Zealand
"TA Boult, MJ Santner",2016-2018,2016,2018,5,3,46,16*,23.00,0,0,New Zealand
"JG Bracewell, VR Brown",1988-1988,1988,1988,1,0,46,46,46.00,0,0,New Zealand
"GE Bradburn, MD Crowe",1990-1990,1990,1990,3,0,46,21,15.33,0,0,New Zealand
"EJ Chatfield, Sir RJ Hadlee",1981-1986,1981,1986,5,0,46,28,9.20,0,0,New Zealand
"BE Congdon, V Pollard",1974-1974,1974,1974,1,0,46,46,46.00,0,0,New Zealand
"CJ Drum, SB Styris",1999-1999,1999,1999,1,0,46,46,46.00,0,0,New Zealand
